Id,Name
1,Dziedzina nauk humanistycznych
2,Dziedzina nauk inżynieryjno-technicznych
3,Dziedzina nauk medycznych i nauk o zdrowiu
4,Dziedzina nauk rolniczych
5,Dziedzina nauk społecznych
6,Dziedzina nauk ścisłych i przyrodniczych
7,Dziedzina nauk teologicznych
8,Dziedzina sztuki
