Id,Title_1,Title_2
1,2D Materials,2D Materials
2,3 Biotech,3 Biotech
3,3C Empresa,
4,3c Tecnologia,
5,3C Tic,
6,3D Printing and Additive Manufacturing,3D Printing and Additive Manufacturing
7,3D Research,3D Research
8,3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,"3L: Language, Linguistics, Literature"
9,452 F-Revista de Teoria de la Literatura y Literatura Comparada,
10,4OR-A Quarterly Journal of Operations Research,4OR
