Name,Unit
naukowiec_1_KIS,KIS
naukowiec_2_KIS,KIS
naukowiec_3_KIS,KIS
naukowiec_4_KIS,KIS
naukowiec_5_KIS,KIS
naukowiec_6_KIS,KIS
naukowiec_7_KIS,KIS
naukowiec_8_KIS,KIS
naukowiec_9_KIS,KIS
naukowiec_10_KIS,KIS
naukowiec_11_ICNT,ICNT
naukowiec_12_ICNT,ICNT
naukowiec_13_ICNT,ICNT
naukowiec_14_ICNT,ICNT
naukowiec_15_ICNT,ICNT
naukowiec_16_ICNT,ICNT
naukowiec_17_ICNT,ICNT
naukowiec_18_ICNT,ICNT
naukowiec_19_ICNT,ICNT
naukowiec_20_ICNT,ICNT
